Language	ISO 639-3 Code	Type
Bunoge Dogon	dgb	Living
Bunun	bnn	Living
Buol	blf	Living
Burak	bys	Living
Buraka	bkg	Living
Bura-Pabir	bwr	Living
Burarra	bvr	Living
Burate	bti	Living
Burduna	bxn	Living
Bure	bvh	Living
Buriat	bua	Living
Burji	bji	Living
Burmbar	vrt	Living
Burmese	mya	Living
Burmeso	bzu	Living
Buru (Indonesia)	mhs	Living
Buru (Nigeria)	bqw	Living
Burui	bry	Living
Burumakok	aip	Living
Burun	bdi	Living
Burunge	bds	Living
Burushaski	bsk	Living
Burusu	bqr	Living
Buruwai	asi	Living
Busa	bqp	Living
Busam	bxs	Living
Busami	bsm	Living
Busang Kayan	bfg	Living
Bushi	buc	Living
Bushoong	buf	Living
Buso	bso	Living
Busoa	bup	Living
Bussa	dox	Living
Busuu	bju	Living
Butbut Kalinga	kyb	Living
Butmas-Tur	bnr	Living
Butuanon	btw	Living
Buwal	bhs	Living
Buyu	byi	Living
Buyuan Jinuo	jiy	Living
Bwa	bww	Living
Bwaidoka	bwd	Living
Bwanabwana	tte	Living
Bwatoo	bwa	Living
Bwe Karen	bwe	Living
Bwela	bwl	Living
Bwile	bwc	Living
Bwisi	bwz	Living
Byangsi	bee	Living
Byep	mkk	Living
Caac	msq	Living
Cabécar	cjp	Living
Cabiyarí	cbb	Living
Cacaloxtepec Mixtec	miu	Living
Cacgia Roglai	roc	Living
Cacua	cbv	Living
Caddo	cad	Living
Cafundo Creole	ccd	Living
Cahuarano	cah	Living
Cahuilla	chl	Living
Cahungwarya	nat	Living
Cajamarca Quechua	qvc	Living
Cajatambo North Lima Quechua	qvl	Living
Cajonos Zapotec	zad	Living
Cajun French	frc	Living
Caka	ckx	Living
Cakchiquel-Quiché Mixed Language	ckz	Living
Cakfem-Mushere	cky	Living
Calamian Tagbanwa	tbk	Living
Calderón Highland Quichua	qud	Living
Callawalla	caw	Living
Caló	rmq	Living
Caluyanun	clu	Living
Cameroon Mambila	mcu	Living
Cameroon Pidgin	wes	Living
Camling	rab	Living
Campalagian	cml	Living
Campidanese Sardinian	sro	Living
Camsá	kbh	Living
Camtho	cmt	Living
Cañar Highland Quichua	qxr	Living
Candoshi-Shapra	cbu	Living
Canela	ram	Living
Cao Lan	mlc	Living
Cao Miao	cov	Living
Capanahua	kaq	Living
Capiznon	cps	Living
Caquinte	cot	Living
Car Nicobarese	caq	Living
Cara	cfd	Living
Carabayo	cby	Living
Carapana	cbc	Living
Caribbean Hindustani	hns	Living
Caribbean Javanese	jvn	Living
Carijona	cbd	Living
Carolinian	cal	Living
Carpathian Romani	rmc	Living
Carrier	crx	Living
Cashibo-Cacataibo	cbr	Living
Cashinahua	cbs	Living
Casiguran Dumagat Agta	dgc	Living
Casuarina Coast Asmat	asc	Living
Catalan	cat	Living
Catalan Sign Language	csc	Living
Cavineña	cav	Living
Cayuga	cay	Living
Cebaara Senoufo	sef	Living
Cebuano	ceb	Living
Cemuhî	cam	Living
Cen	cen	Living
Central Asmat	cns	Living
Central Atlas Tamazight	tzm	Living
Central Awyu	awu	Living
Central Aymara	ayr	Living
Central Bai	bca	Living
Central Berawan	zbc	Living
Central Bikol	bcl	Living
Central Bontok	lbk	Living
Central Cagayan Agta	agt	Living
Central Dusun	dtp	Living
Central Grebo	grv	Living
Central Hongshuihe Zhuang	zch	Living
